experiment,case_type,rank,image_path,label,ood_type,score,threshold,margin,prediction,scores_file
patchcore_layer2,fn,3,images/dissertation_v1/ood/sensory_artifact/gaussian_noise/artifact_000036_06_gaussian_noise.png,1,sensory_artifact,20.06753158569336,32.97853279113769,-12.911001205444329,0,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fn,4,images/dissertation_v1/ood/sensory_artifact/gaussian_noise/artifact_000012_06_gaussian_noise.png,1,sensory_artifact,20.16671562194824,32.97853279113769,-12.81181716918945,0,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,fn,5,images/dissertation_v1/ood/sensory_artifact/jpeg_compression/artifact_000036_07_jpeg_compression.png,1,sensory_artifact,20.46455764770508,32.97853279113769,-12.513975143432607,0,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,borderline,1,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000041_04_blur_artifact.png,1,sensory_artifact,32.972557067871094,32.97853279113769,-0.005975723266594457,0,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,borderline,2,images/dissertation_v1/ood/sensory_artifact/jpeg_compression/artifact_000064_07_jpeg_compression.png,1,sensory_artifact,32.98797607421875,32.97853279113769,0.009443283081061793,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,borderline,3,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000494.png,1,semantic_outlier,32.99760437011719,32.97853279113769,0.019071578979499293,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,borderline,4,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000323.png,1,semantic_outlier,32.958683013916016,32.97853279113769,-0.019849777221672582,0,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2,borderline,5,images/dissertation_v1/ood/sensory_artifact/gaussian_noise/artifact_000005_06_gaussian_noise.png,1,sensory_artifact,33.00614547729492,32.97853279113769,0.027612686157233668,1,runs/patchcore_layer2/evaluation/scores.csv
patchcore_layer2_layer3,tp,1,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000352.png,1,semantic_outlier,89.41507720947266,44.27885704040525,45.13622016906741,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,tp,2,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000209.png,1,semantic_outlier,87.63623046875,44.27885704040525,43.35737342834475,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,tp,3,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000485.png,1,semantic_outlier,86.54248046875,44.27885704040525,42.26362342834475,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,tp,4,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000237.png,1,semantic_outlier,86.02153778076172,44.27885704040525,41.74268074035647,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,tp,5,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000455.png,1,semantic_outlier,85.11905670166016,44.27885704040525,40.84019966125491,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fp,1,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000030.png,0,id,53.1576042175293,44.27885704040525,8.878747177124048,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fp,2,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000005.png,0,id,49.611209869384766,44.27885704040525,5.332352828979516,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fp,3,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000143.png,0,id,48.723899841308594,44.27885704040525,4.4450428009033445,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fp,4,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000018.png,0,id,47.4787483215332,44.27885704040525,3.199891281127954,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fp,5,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000026.png,0,id,46.35279083251953,44.27885704040525,2.073933792114282,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fn,1,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000141_04_blur_artifact.png,1,sensory_artifact,28.455734252929688,44.27885704040525,-15.823122787475562,0,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fn,2,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000113_04_blur_artifact.png,1,sensory_artifact,28.758956909179688,44.27885704040525,-15.519900131225562,0,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fn,3,images/dissertation_v1/ood/sensory_artifact/jpeg_compression/artifact_000007_07_jpeg_compression.png,1,sensory_artifact,29.17863273620605,44.27885704040525,-15.100224304199198,0,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fn,4,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000138_04_blur_artifact.png,1,sensory_artifact,30.01385498046875,44.27885704040525,-14.2650020599365,0,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,fn,5,images/dissertation_v1/ood/sensory_artifact/jpeg_compression/artifact_000141_07_jpeg_compression.png,1,sensory_artifact,30.19452667236328,44.27885704040525,-14.084330368041968,0,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,borderline,1,images/dissertation_v1/ood/sensory_artifact/gaussian_noise/artifact_000009_06_gaussian_noise.png,1,sensory_artifact,44.26239013671875,44.27885704040525,-0.01646690368649928,0,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,borderline,2,images/dissertation_v1/ood/sensory_artifact/border_crop/artifact_000062_05_border_crop.png,1,sensory_artifact,44.30550384521485,44.27885704040525,0.026646804809601576,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,borderline,3,images/dissertation_v1/ood/modality_shift/colour_fundus/colour_fundus_000027.png,1,modality_shift,44.30924987792969,44.27885704040525,0.03039283752443822,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,borderline,4,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000144_04_blur_artifact.png,1,sensory_artifact,44.31718444824219,44.27885704040525,0.03832740783693822,1,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer2_layer3,borderline,5,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000144.png,0,id,44.23961639404297,44.27885704040525,-0.03924064636228053,0,runs/patchcore_layer2_layer3/evaluation/scores.csv
patchcore_layer3,tp,1,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000352.png,1,semantic_outlier,84.7704849243164,34.763293457031246,50.00719146728516,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,tp,2,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000209.png,1,semantic_outlier,82.67782592773438,34.763293457031246,47.91453247070313,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,tp,3,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000485.png,1,semantic_outlier,81.62097930908203,34.763293457031246,46.857685852050786,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,tp,4,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000237.png,1,semantic_outlier,79.49176025390625,34.763293457031246,44.728466796875004,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,tp,5,images/dissertation_v1/ood/semantic_outlier/cifar10_natural/cifar10_natural_000455.png,1,semantic_outlier,79.48383331298828,34.763293457031246,44.720539855957036,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fp,1,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000030.png,0,id,43.88208770751953,34.763293457031246,9.118794250488286,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fp,2,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000005.png,0,id,43.31197738647461,34.763293457031246,8.548683929443364,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fp,3,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000117.png,0,id,39.004127502441406,34.763293457031246,4.2408340454101605,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fp,4,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000143.png,0,id,38.52849197387695,34.763293457031246,3.7651985168457074,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fp,5,images/dissertation_v1/id/test_synthetic_fallback/id_test_synthetic_fallback_000018.png,0,id,37.31120681762695,34.763293457031246,2.5479133605957074,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fn,1,images/dissertation_v1/ood/sensory_artifact/jpeg_compression/artifact_000138_07_jpeg_compression.png,1,sensory_artifact,19.984952926635746,34.763293457031246,-14.7783405303955,0,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fn,2,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000138_04_blur_artifact.png,1,sensory_artifact,20.188295364379883,34.763293457031246,-14.574998092651363,0,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fn,3,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000113_04_blur_artifact.png,1,sensory_artifact,20.201982498168945,34.763293457031246,-14.5613109588623,0,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fn,4,images/dissertation_v1/ood/sensory_artifact/jpeg_compression/artifact_000032_07_jpeg_compression.png,1,sensory_artifact,21.00067138671875,34.763293457031246,-13.762622070312496,0,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,fn,5,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000073_04_blur_artifact.png,1,sensory_artifact,22.615816116333008,34.763293457031246,-12.147477340698238,0,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,borderline,1,images/dissertation_v1/ood/sensory_artifact/gaussian_noise/artifact_000128_06_gaussian_noise.png,1,sensory_artifact,34.77689743041992,34.763293457031246,0.013603973388676138,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,borderline,2,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000127_04_blur_artifact.png,1,sensory_artifact,34.77799224853516,34.763293457031246,0.014698791503917619,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,borderline,3,images/dissertation_v1/ood/sensory_artifact/border_crop/artifact_000117_05_border_crop.png,1,sensory_artifact,34.78597640991211,34.763293457031246,0.022682952880863638,1,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,borderline,4,images/dissertation_v1/ood/modality_shift/colour_fundus/colour_fundus_000137.png,1,modality_shift,34.732906341552734,34.763293457031246,-0.030387115478511362,0,runs/patchcore_layer3/evaluation/scores.csv
patchcore_layer3,borderline,5,images/dissertation_v1/ood/sensory_artifact/blur_artifact/artifact_000047_04_blur_artifact.png,1,sensory_artifact,34.72110366821289,34.763293457031246,-0.04218978881835511,0,runs/patchcore_layer3/evaluation/scores.csv
